Course,Book_ID,Topic,Bookclub,Pseudonym,Message,CodePreliminary,Message_Time,Is_Answer,Page
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-08,"Design is constant changing based on the needs for our future. However, these changes are not always welcomed. As the article mentions about the Minnesota initiative, there will always be push-back for something great. We need prototypes to be big things in order to make a difference. For example, factory farming has been the norm for ages. Most people do not care about how or where their meat comes from.",Content Discussion,18.11.2020 22:49,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-08,"Even though factory farming is one way we are destroying our environment, people do not care to make a change in their own lives to help it. Instead we need to completely modify the way we get our food that is more sustainable and does not poison the atmosphere. Just like the article suggests, big changes are needed in order to avoid an apocalyptic future courtesy of climate change.",Content Discussion,18.11.2020 22:51,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-12,"The article relates to the design perspective because the fundamentals of human society are rooted in design. Many think of design"" as determining where a sofa should be placed in a living room. While this is one meaning to the word  of design  this article refers""",Content Discussion,19.11.2020 12:36,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-12,"to ""design"" in the sense of how daily functions and operations affect the life we live.",Content Discussion,19.11.2020 12:38,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-12,"COVID-19 has majorly changed the design"" of how we interact with others  how we shop  and how we attend school. As the article mentions  the pandemic has exposed the design flaws in our human society  such as crowded housing complexes in New York City. Mankind did not ""design"" our society in a way that can protect us from this deadly disease. Instead  mankind chose what could generate the most revenue.""",Content Discussion,19.11.2020 12:43,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-12,"The article concludes by mentioning several ways in which mankind needs to change the design"" plan in order to have a future on this planet. The author highlights a need for more sustainable ways to grow food  use energy  build housing to accommodate the population  and to figure out a ""design"" that ensure climate control. While small changes are good  the author notes that the only way to guarantee a resilient future is to enact big changes and major shifts to a more sustainable ""design"" plan.""",Content Discussion,19.11.2020 12:49,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-01,"This article highlights the ways in which design is context-dependent. It gives examples of many design solutions for various problems throughout history. However, we now live in a more rapidly changing environment that prevents us from planning and solving problems before the situation or context changes. We need prototypes that are versatile, such as the clothes that grow with you. While we need our designs to be sustainable, they also need to be flexible in order to manage in a constantly changing ",Content Discussion,19.11.2020 18:06,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-01,enviro,Incomplete/Typo,19.11.2020 18:06,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-06,"I agree with all that have posted their perspectives on this topic and also feel it is agreed upon that we need to begin changing the design plan in order to create a more sustainable future. To be more clear, humans need to change the design plan for housing, food, clothing, and energy so that we can survive in the distant future.",Content Discussion,20.11.2020 10:51,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-06,"I appreciated those mentioned in the article who challenged the current design plans and came up with a design that is more aligned with the current goals of humanity. For instance, the designer who created clothing that grew with a child. If influential people would buy into this idea, society would most likely get behind it and many complex issues regarding the clothing industry could be solved. It seems that many of the futuristic designs would need influential people involved in order to make a positive",Content Discussion,20.11.2020 10:55,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-06,"change for the world. Additionally, I wonder what other challenges there are when trying to implement these new design ideas.",Content Discussion,20.11.2020 10:55,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-05,"In terms of the clothing, I think for it to catch on it would have to be appealing. A lot of our culture nowadays is very caught up in looks unfortunately and if it doesn?t look trendy it won?t do well. I looked at the clothes and they were, interesting. they had the style of an accordion but in shirt and pants for your toddler. While functional not something the trendsetters would capitalize on.",Content Discussion,20.11.2020 13:45,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-05,"An important aspect of design is the appeal along with the function. While the article touched upon how design and planning were once thought of as the same thing, it goes without saying that by today's standards those are very different aspects of any single project.  I agree with Cassandra?s point that the article highlights how to design in context-dependent. What was once an awe-inspiring design can now be considered a design nightmare. Times and environmental change have called for a change in how an",Content Discussion,20.11.2020 13:46,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-05,how and what we design.,Content Discussion,20.11.2020 13:46,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-05,"While flexibility is good in design, I think useability is the most important aspect of a prototype. Does it solve an issue, and can it truly replace the inferior technology? By truly replace I mean does its design fit with society's standards of what the previous technology looked like or does it improve upon the appearance.",Content Discussion,20.11.2020 13:46,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-05,Something innovators seldom consider is the number of people that are not into sustainability and caring about global warming or being eco-conscious. These are the people we must think about designing for.,Content Discussion,20.11.2020 13:47,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-13,1. The article's content is really focusing on trying to get the readers to understand that design is more than something we deem aesthetically pleasing. Using the current COVID-19 social distancing practices allows the author to show the reader that design is also functional and in areas that we may feel do not represent the aesthetic of design we typically think of. In order to support the idea of design beyond beauty the author provides a multitude of examples that showcase how design is purposeful in ,Content Discussion,22.11.2020 15:09,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-13,bo,Incomplete/Typo,22.11.2020 15:09,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-03,I agree with pim-13's take ,Response,22.11.2020 17:36,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-03,"that the article is trying to bring light to a facet of the term ""design"".  The content of the article relates to the design perspective because the author chose to use many examples on a wide spectrum to support the content.  In order to utilize working prototypes for a resilient future one must be flexible and innovative.",Content Discussion,22.11.2020 17:36,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-14,"1. The article content discusses how design permeates every aspect of our worlds, from small things like tables and chairs to massive systems like global food systems and energy systems. The author talks about how design in the 20th century had a sort of utopian idea of the future, that designing things and developing new technologies will always make our lives better, but then shows how that notion is flawed and our reality in the 21st century is that many of the ways we have designed systems for decades a",Content Discussion,22.11.2020 22:35,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-14,"*and centuries has led to the catastrophic crises we are facing like climate change and Covid-19, with the example of housing design in cities having so many people living so close together which allowed for the rapid spread of Covid-19. 2. For a resilient future, prototypes will be needed that view humans as a part of the earth rather than a conqueror of the earth. Prototypes for renewable, clean energy like solar panels and electric vehicles should be considered as well as prototypes for sustainable foods",Content Discussion,22.11.2020 22:38,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-14,"@Tatiana Diaz, you bring up a really good point, ",Feedback,22.11.2020 22:47,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-14,"that designers who do care about sustainability have to design for people who might not really care about sustainability or global warming at all. One example of that sort of design that comes to mind is Tesla and their electric vehicles. I'm not an expert on all of the details of Tesla vehicles, but it seems that they are trying to not just make an electric vehicle but to make an electric vehicle that can rival any gas-powered sports car on the market. I've ",Content Discussion,22.11.2020 22:47,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-14,"met people who don't care at all about global warming or helping the environment but say they really want to get a Tesla because of how cool they look. It's almost like a way of getting people who don't care about global warming to do something good for the planet, by making it so well designed that the product, such as a Tesla, looks better than and is more appealing than the environmentally harmful alternative, i.e. other gas-powered sports cars that create carbon emissions.",Content Discussion,22.11.2020 22:48,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-04,I like Cassandra's focus,Feedback,23.11.2020 13:29,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-04," on design being context-dependent."" I focused on the ways environment and lifestyle (including work  etc.) interact from a design perspective. Cassandra's phrase better encapsulates the ways it is all interdependent and in constant flux.""",Content Discussion,23.11.2020 13:29,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-07,"As stated on page one by designer Charles Eames when asked ?What are the boundaries of design?? Eames responded, ?What are the boundaries of problems?? Design is dependent on the world that surrounds it. The problems that affect us, effect design.",Content Discussion,26.11.2020 00:11,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-07,"And as far as what prototypes should be considered for a resilient future - oh, maybe an education system that actually seeks to educate children? or maybe a government that is not dependent upon and beholding to big business for its every waking move?",Content Discussion,26.11.2020 00:14,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-07,"@ Rachel, I 100% agree ",Response,26.11.2020 00:20,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-07,"about factory/industrial farming but do you really think that most people don't care, or do you think that they simply do not understand what is going on? There has been such a white-wash of that type of industry, i.e. visuals and marketing that still show the family farm and product labels that imply a completely different story that what is really happening. I tend to think that the apathy that Americans have about food technology and processing is simply based on a lack of knowledge. ",Content Discussion,26.11.2020 00:20,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-07,What's your take?,Content Question,26.11.2020 00:20,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-09,"1. The article discusses how design is a fundamental part of our lives. Everything is related to design, even though it is easy to think of design as just being the layout of a room. The article focuses on designing for a future that is unlikely to be as expected, due to the increasing destruction of the environment. The article discusses how climate change could potentially cause an apocalyptical future in the not-so-distant future.",Content Discussion,27.11.2020 21:01,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-09,"2. Something that I think is very important and necessary to combat climate change is the cessation of making, buying, and throwing away single-use plastics. Greenhouse gas emissions are also a very big problem. In order to combat this we need to hold giant corporations accountable for contributing to this problem at an alarming rate. The article also talks about a clothing design that grows with the child wearing it. This would help to combat the issue of fast fashion"" and the environmental and human cost used to make clothing. At this point in time  a lot of design is focused on cutting carbon emissions  stopping extinction  and combating the COVID19 virus  among other things. In general  sustainability is a must for creating a better future.""",Content Discussion,27.11.2020 21:07,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-02,Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Content Question,28.11.2020 10:47,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-02,"The perspective of design has to be reimagined in this era of Covid-19 and global warming.  These are no longer the plots of a fictional movie or a conspiracy theory.  Thus, besides sustainability, new prototypes have to consider other factors like viability.",Content Discussion,28.11.2020 11:01,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-13,John thats a really great point ,Feedback,28.11.2020 12:37,false,11
PIM P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,pim-13,"on how design and being environmentally friendly and sustainable can meet the needs of people interested in both with your example of the tesla. I think can also be influenced in marketing as well not only focusing on sustainability, but also design to really interest people.",Content Discussion,28.11.2020 12:37,false,11
EDF6284 P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,edf-04,"1. The article claims that design should not only be about how we live better, but also how we will survive. It must be created with the thought that there might be a catastrophe in mind, and sometimes the very design that we thought would better our lives turns out to be the one that will damage us the most.",Content Discussion,19.11.2020 15:57,false,11
EDF6284 P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,edf-04,"2. We need to make large scale changes to our design on a fundamental level, not the temporary and small scale fixes that we have been using. We need better, more effective prototypes that can change an entire system, not individual machines or items",Content Discussion,19.11.2020 15:58,false,11
EDF6284 P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,edf-03,"1) This article related to design because design is necessary to think about the future. If we continue farming and producing emissions at the current rate there may not be a future. The design perspective is needed to think outside the box to create solutions for our current situations. The ever-growing population needs continue to rise. 2) Prototype for the future need to be ""green"" using less waste and less space. We need solutions that will enable the farmers to grow more crops with less chemicals in ",Content Discussion,22.11.2020 10:30,false,11
EDF6284 P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,edf-03,le,Incomplete/Typo,22.11.2020 10:30,false,11
EDF6284 P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,edf-06,"1) Design should always serve users, good design is efficient and at times unnoticed. At this time designers have begun addressing the needs of individuals in the current COVID climate.  2) Designs can arguably be measured on their permanence of impact and existence. Small circles in the park to encourage social distancing are low cost and easily removed. Designing new buildings to accommodate working from home, is more expensive and not quick to build or easy to pivot away from. Finding a balance is ",Content Discussion,22.11.2020 16:36,false,11
EDF6284 P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,edf-06,essent,Incomplete/Typo,22.11.2020 16:36,false,11
EDF6284 P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,edf-01,"1. We must have to think for the future. If we are thinking about a design that can last years, we can't think of just now. The populations begin to increase, and there will always be people with different capabilities.",Content Discussion,27.11.2020 18:00,false,11
EDF6284 P2,266,Part 1) Why does the article content relate to the design perspective? And Part 2) What sort of prototypes should be considered for a resilient future?,Book Club One,edf-01,"2. We have to think about designs that are ""green"" and healthy for both humans and the planet.",Content Discussion,27.11.2020 18:00,false,11
